AuthorityName,Region,Sector,authority_id,FOISA requests,FOISA closed - unclear,FOISA closed - withdrawn,FOISA fees notice,FOISA - fees paid,FOISA response on time,FOISA response late,FOISA - faliure to respond,FOISA refused - cost,FOISA - vexatious,FOISA - repeated,FOISA - full release,FOISA - none released,FOISA - some released,FOISA - none held ,FOISA - no confirm/deny,EIR requests,EIR closed - unclear ,EIR closed - withdrawn,EIRs fees notice,EIRs - fees paid,EIRs response on time,EIRs response late,EIRs - failure to respond,EIR timescale extended,EIRs refused - cost,EIRs - manifestly unreasonable,EIRs - full release,EIRs - none released ,EIRs - some released,EIRs - none held,EIRs - no confirm/deny,Subject Access Requests,FOISA reviews ,FOISA review - on time,FOISA review - late response,FOISA review - failure to respond,FOISA review - wholly/partially upheld,FOISA review - substituted decision,FOISA review - decision reached ,EIRs reviews,EIRs review - on time,EIRs review - late response ,EIRs review - failure to respond,EIR review - upheld,EIR review - not upheld,Otherwise accessible,Publication Scheme ,Disclosure prohibited: enactment ,Disclosure prohibited: EU obligation,Disclosure prohibited: Contempt of Court,Future publication: 12 weeks,Future publication: programme of research,Substantial prejudice to UK relations ,Formulation/development of government policy,Ministerial communications,Advice by Law Officers,Operation of Ministerial private office,Substantial prejudice to collective responsibility of Scottish Ministers,Substantial inhibition to free and frank provision of advice,Substantial inhibition to free and frank exchange of views,Substantial prejudice to effective conduct of public affairs,National security,Substantial prejudice to defence ,Substantial prejudice to international relations,Confidential information obtained from abroad,Trade secret,Substantial prejudice to commercial interests,Substantial prejudice to the economic interests of the UK,Substantial prejudice to the financial interests of a UK administration,Information held for the purposes of a criminal investigation,Information held for ongoing Fatal Accident Inquiry,Information held regarding cause of death,Information relating to the obtaining of information from confidential sources,Information held for purposes of civil proceedings arising out of investigations,Substantial prejudice to prevention or detection of crime,Substantial prejudice to apprehension or prosecution of offenders,Substantial prejudice to administration of justice,Substantial prejudice to assessment or collection of tax or duty,Substantial prejudice to operation of immigration controls,Substantial prejudice to maintenance of security and good order in prisons,Substantial prejudice to the exercise by a public authority for any of its functions,Substantial prejudice to civil proceedings brought by an authority,Confidentiality of communications,Actionable breach of confidence,Court records,Court records: inquiry or arbitration,Personal data of the applicant,Third party personal data ,Personal census information,Deceased person's health record,Endangerment to health or safety,Environmental information ,Substantial prejudice to audit function,Communications with the Royal Family and honours,Material in course of completion,Internal Communications,Substantial prejudice to international relations public safety etc.,Substantial prejudice to course of justice etc.,Substantial prejudice to intellectual property rights,Substantial prejudice to confidentiality of proceedings,Substantial prejudice to confidentiality of commercial or industrial information ,Substantial prejudice to the interests of a third party,Substantial prejudice to the protection of the environment,Neither confirm nor deny whether environmental information held,Personal data of the applicant,Third party personal data,Neither confirm or deny whether personal data held
Scottish Children's Reporter Administration,National,Others e.g. NDPBs,169,28,0,0,1,0,27,1,0,0,1,0,11,3,2,5,0,0,,,,,,,,,,,,,,,,76,1,1,0,0,1,0,0,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,1,,,,,,,,,,,,,,,,,,,
Scottish Courts and Tribunals Service,National,Non Ministerial Officeholders,170,306,9,5,0,0,263,17,1,21,4,0,107,89,57,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,19,18,1,0,17,1,1,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,27,0,9,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottish Criminal Cases Review Commission,National,Others e.g. NDPBs,171,24,1,,,,13,,,,,,4,10,7,3,,0,,,,,,,,,,,,,,,,13,1,1,,,1,,,,,,,,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5,1,,,,,,,,,,,,,,,,,,,
Scottish Dental Practice Board,National,National Health Service,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottish Enterprise,National,Others e.g. NDPBs,173,98,1,5,0,0,71,21,0,1,0,0,47,2,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,7,0,7,4,1,0,0,0,0,0,0,,,,,,,,,,,,,,1,1,1,,,,,,24,,,,,,,,,,,,,,,,,2,,,,29,,,,,,,,,,,,,,,,,,,
Scottish Environment Protection Agency,National,Others e.g. NDPBs,174,40,7,1,0,0,35,2,0,0,0,0,9,5,23,9,0,683,41,12,1,0,523,92,32,1,2,2,143,40,428,211,0,8,4,3,0,0,2,1,0,34,23,12,2,11,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,617,0,0,11,8,7,16,8,5,13,8,0,0,4,176,0
Scottish Further and Higher Education Funding Council,National,Others e.g. NDPBs,176,42,1,1,0,0,35,1,1,0,0,0,15,3,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottish Information Commissioner,National,Others e.g. NDPBs,177,69,0,2,0,0,63,0,0,0,0,0,17,9,13,21,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,22,6,5,1,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Scottish Law Commission,National,Others e.g. NDPBs,178,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottish Legal Aid Board,National,Others e.g. NDPBs,179,117,0,3,0,13,95,5,0,4,0,1,73,6,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,4,0,0,4,1,0,0,0,0,0,0,0,4,,3,,,,,,,,,,,,1,2,,,,,,2,,,1,,,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,
Scottish Ministers (including most Government Agencies and Non-Ministerial Officeholders),National,Ministers/Parliament,180,2927,8,31,,,2404,148,161,146,65,19,997,389,635,504,2,585,1,9,,,508,16,56,,,,183,59,193,89,0,115,219,174,24,9,89,10,20,40,36,3,1,26,5,,,,,,50,1,11,60,21,1,1,12,67,93,53,0,0,,,1,66,1,16,,,,0,,,,,,,,,,19,5,,,27,324,0,25,16,4,0,0,33,34,0,5,0,8,24,11,2,0,0,74,16
Scottish Natural Heritage,National,Others e.g. NDPBs,181,22,0,0,0,0,25,4,0,0,0,0,13,0,7,2,0,157,0,0,0,0,133,18,0,7,0,2,42,1,99,12,0,2,0,2,0,0,2,0,0,5,6,2,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,153,0,0,4,5,2,2,0,0,1,2,12,0,7,73,0
Scottish Parliament,National,Ministers/Parliament,182,140,1,9,0,0,139,0,0,0,0,0,29,7,35,55,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,10,5,5,0,0,4,1,0,0,0,0,0,0,0,15,0,0,,0,3,0,0,0,0,0,0,0,9,7,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottish Prison Service,National,Ministers/Parliament,184,548,11,6,0,0,470,63,0,10,0,4,251,37,153,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,28,3,0,22,8,1,0,0,0,0,0,0,7,,,,,,,,2,,,,1,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,3,7,,,,,,,,,,,,,,,,,,,
Scottish Public Services Ombudsman,National,Others e.g. NDPBs,186,110,0,1,0,0,109,4,0,3,0,0,5,76,17,7,0,9,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,69,10,9,0,0,6,0,0,0,0,0,0,0,0,17,,74,,,1,,,,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,3,,,50,17,,,,,,,,,,,,9,,,,,8,,
Scottish Qualifications Authority,National,Others e.g. NDPBs,187,370,0,5,0,0,362,8,0,3,0,0,123,141,105,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,11,10,1,0,7,3,1,0,0,0,0,0,0,65,0,0,0,0,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,7,0,0,70,56,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottish Social Services Council,National,Others e.g. NDPBs,188,46,0,0,0,0,44,2,0,2,0,0,31,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2,2,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
Scottish Sports Council,National,Others e.g. NDPBs,189,32,0,0,0,0,32,3,0,5,0,0,10,0,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottish Water,National,Others e.g. NDPBs,190,47,0,1,1,0,46,1,0,0,0,0,25,8,10,5,0,624,0,13,1,0,598,8,0,1,0,1,387,93,110,46,3,0,4,4,0,0,2,2,0,17,17,0,0,6,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,62,325,10
Shetland Islands Council (including Licensing Board and Transport Partnership),Highland and Islands,Local Government,191,1170,9,4,0,0,1045,93,6,2,0,0,1042,7,57,41,0,40,0,0,0,0,33,9,0,0,0,0,38,0,0,1,0,27,8,4,1,0,3,0,1,4,1,0,0,1,0,1,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,6,,,,,,,,,,,,,,,,,,,
Shetland Health Board,Highland and Islands,National Health Service,193,536,2,4,0,0,499,29,0,10,0,0,432,15,39,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,5,1,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Ayrshire Council and Licensing Board,Ayrshire,Local Government,194,1084,10,6,0,0,930,167,0,9,0,1,886,114,0,51,1,423,5,3,0,0,401,30,0,0,0,0,367,34,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Lanarkshire College,Strathclyde,Educational Institutions,196,15,0,0,0,0,15,1,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Lanarkshire Council,Strathclyde,Local Government,197,1597,35,21,1,0,1453,144,15,62,1,6,698,484,340,346,13,343,0,0,3,0,313,30,0,0,4,0,168,41,131,107,7,275,25,15,10,0,9,11,2,7,5,2,0,3,4,44,23,0,0,0,15,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,4,0,0,7,81,0,0,1,278,0,0,1,0,0,1,1,2,2,0,1,0,2,42,0
South Lanarkshire Licensing Board,Strathclyde,Local Government,198,4,0,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standards Commission for Scotland,National,Others e.g. NDPBs,200,7,0,0,0,0,7,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Hospitals Board For Scotland,National,National Health Service,201,180,0,0,0,0,153,2,0,1,0,0,128,7,11,52,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stirling Council and Licensing Board,Central,Local Government,202,1375,50,4,0,0,1291,66,0,26,0,1,918,171,232,209,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,111,30,10,16,1,18,7,1,0,0,0,0,0,0,93,0,0,0,0,5,0,1,1,0,0,0,1,0,1,6,1,0,0,0,0,3,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,2,1,0,0,1,54,0,0,2,9,0,0,0,3,0,0,0,3,3,3,0,0,4,0,0
Strathclyde Partnership for Transport,Strathclyde,Local Government,205,19,2,0,0,0,25,0,0,0,0,0,15,2,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,
Tay Road Bridge Joint Board,Tayside,Local Government,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tayside Health Board,Tayside,National Health Service,209,743,10,11,1,0,667,76,30,19,0,1,321,0,259,18,0,28,0,0,0,0,24,4,0,1,0,0,19,0,6,0,0,0,20,14,2,1,13,2,3,0,0,0,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,37,175,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tayside Valuation Joint Board,Tayside,Local Government,210,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Police Investigations and Review Commissioner,National,Others e.g. NDPBs,212,52,0,2,0,0,49,0,0,0,0,0,25,6,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottish Legal Complaints Commission,National,Others e.g. NDPBs,213,34,1,2,0,0,33,1,0,3,2,0,7,13,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,2,2,0,0,1,1,1,0,0,0,0,0,0,7,,13,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,5,,,,,,,,,,,,,,,,,,,
National Library of Scotland,National,Others e.g. NDPBs,215,22,0,0,0,0,22,0,0,0,0,0,16,0,5,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of the Highlands and Islands,Highland and Islands,Educational Institutions,216,132,2,3,0,0,134,1,0,0,3,0,61,22,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
University of Aberdeen,Grampian,Educational Institutions,217,435,20,4,0,0,428,10,1,9,2,0,191,12,156,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,10,0,0,4,4,0,0,0,0,0,0,0,29,,,,,1,,,,,,,,,,3,,,,,,10,,,,,,,,4,,,,,,,,1,,,,2,26,,,1,4,,,,1,,1,1,,1,,,,,1,
University of Abertay Dundee,Tayside,Educational Institutions,218,273,2,0,0,0,244,21,0,1,0,0,104,24,87,47,1,5,3,0,0,0,3,2,0,0,0,0,1,0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
University of Dundee,Tayside,Educational Institutions,219,484,6,5,,,452,27,,1,,3,262,10,166,38,3,0,,,,,,,,,,,,,,,,55,8,9,,,5,4,,,,,,,,17,,,,,,,,,,,,,,3,12,,,,,,13,,,,,,,,,,,,,,1,,,2,,,,61,,,3,,,,,,,,,,,,,,,,
University of Edinburgh,Lothian and Borders,Educational Institutions,220,699,17,13,10,2,599,103,10,81,2,3,,57,,48,1,28,0,1,0,0,21,6,0,0,2,0,,1,,3,0,89,24,23,1,0,18,3,3,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Glasgow,Strathclyde,Educational Institutions,221,561,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,21,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of the West of Scotland,Strathclyde,Educational Institutions,222,287,2,1,1,0,272,11,0,8,1,0,230,3,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,3,0,0,3,0,0,0,0,0,0,0,0,14,,,,,1,,,,,,,,,,1,,,,,,13,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
University of St Andrews,Fife,Educational Institutions,223,536,22,6,0,0,484,7,0,15,0,4,117,36,252,77,3,17,0,0,0,0,17,1,0,0,0,0,7,0,10,1,0,17,4,4,0,0,3,1,0,0,0,0,0,0,0,14,51,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,6,55,0,0,0,19,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
University of Stirling,Central,Educational Institutions,224,347,11,7,0,0,333,0,0,4,0,1,277,19,27,6,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,20,5,5,0,0,5,0,0,0,0,0,0,0,0,2,,,,,2,,,,,,,,,,3,,,,,,8,,,,,,,,2,2,,,,,,,,1,,,2,25,,,1,,,,,,,,,,,,,,,,
University of Strathclyde,Strathclyde,Educational Institutions,225,327,4,4,0,0,311,0,0,4,0,0,167,11,110,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,27,5,5,0,0,4,0,0,0,0,0,0,0,0,19,,,,,,,,,,,,,,,3,,,,,,8,,,,,,,,,,,,,,,,,,,3,,12,,,1,,,,,,,,,,,,,,,,
VisitScotland,National,Others e.g. NDPBs,226,20,0,0,0,0,21,0,0,3,0,0,15,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Industry Commission for Scotland,National,Others e.g. NDPBs,227,6,,,,,6,,,,,,3,,1,1,,0,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Dunbartonshire Council and Licensing Board,Strathclyde,Local Government,228,1339,5,0,0,0,1177,161,0,7,0,0,1102,29,43,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,1,0,8,10,0,0,0,0,0,0,0,27,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Lothian College,Lothian and Borders,Educational Institutions,230,25,0,0,0,0,25,0,0,0,0,0,24,0,1,0,0,0,,,,,,,,0,0,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Lothian Council,Lothian and Borders,Local Government,231,1359,0,0,0,0,1207,152,0,42,0,0,1011,115,213,168,0,44,0,0,0,0,42,2,0,0,0,0,33,0,11,6,0,91,54,29,9,0,18,20,12,0,0,0,0,0,0,51,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,6,7,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
West Lothian Licensing Board,Lothian and Borders,Local Government,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Isles Licensing Board,Highland and Islands,Local Government,233,20,1,0,0,0,12,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Isles Health Board,Highland and Islands,National Health Service,234,523,2,3,3,0,452,62,4,1,0,0,513,0,1,0,0,4,0,0,0,0,3,1,0,0,0,0,4,0,0,0,0,123,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottish Road Works Commissioner,National,Others e.g. NDPBs,235,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,35,0,1,0,0,35,0,0,0,0,0,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottish Commission for Human Rights,National,Others e.g. NDPBs,237,10,0,0,0,0,9,0,0,0,0,0,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NESTRANS,National,Local Government,238,3,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HITRANS,Highland and Islands,Local Government,239,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
