AuthorityName,authority_id,Region,Sector,FOISA requests,FOISA closed - unclear,FOISA closed - withdrawn,FOISA fees notice,FOISA - fees paid,FOISA response on time,FOISA response late,FOISA - faliure to respond,FOISA refused - cost,FOISA - vexatious,FOISA - repeated,FOISA - full release,FOISA - none released,FOISA - some released,FOISA - none held ,FOISA - no confirm/deny,EIR requests,EIR closed - unclear ,EIR closed - withdrawn,EIRs fees notice,EIRs - fees paid,EIRs response on time,EIRs response late,EIRs - failure to respond,EIR timescale extended,EIRs refused - cost,EIRs - manifestly unreasonable,EIRs - full release,EIRs - none released ,EIRs - some released,EIRs - none held,EIRs - no confirm/deny,Subject Access Requests,FOISA reviews ,FOISA review - on time,FOISA review - late response,FOISA review - failure to respond,FOISA review - wholly/partially upheld,FOISA review - substituted decision,FOISA review - decision reached ,EIRs reviews,EIRs review - on time,EIRs review - late response ,EIRs review - failure to respond,EIR review - upheld,EIR review - not upheld,Otherwise accessible,Publication Scheme ,Disclosure prohibited: enactment ,Disclosure prohibited: EU obligation,Disclosure prohibited: Contempt of Court,Future publication: 12 weeks,Future publication: programme of research,Substantial prejudice to UK relations ,Formulation/development of government policy,Ministerial communications,Advice by Law Officers,Operation of Ministerial private office,Substantial prejudice to collective responsibility of Scottish Ministers,Substantial inhibition to free and frank provision of advice,Substantial inhibition to free and frank exchange of views,Substantial prejudice to effective conduct of public affairs,National security,Substantial prejudice to defence ,Substantial prejudice to international relations,Confidential information obtained from abroad,Trade secret,Substantial prejudice to commercial interests,Substantial prejudice to the economic interests of the UK,Substantial prejudice to the financial interests of a UK administration,Information held for the purposes of a criminal investigation,Information held for ongoing Fatal Accident Inquiry,Information held regarding cause of death,Information relating to the obtaining of information from confidential sources,Information held for purposes of civil proceedings arising out of investigations,Substantial prejudice to prevention or detection of crime,Substantial prejudice to apprehension or prosecution of offenders,Substantial prejudice to administration of justice,Substantial prejudice to assessment or collection of tax or duty,Substantial prejudice to operation of immigration controls,Substantial prejudice to maintenance of security and good order in prisons,Substantial prejudice to the exercise by a public authority for any of its functions,Substantial prejudice to civil proceedings brought by an authority,Confidentiality of communications,Actionable breach of confidence,Court records,Court records: inquiry or arbitration,Personal data of the applicant,Third party personal data ,Personal census information,Deceased person's health record,Endangerment to health or safety,Environmental information ,Substantial prejudice to audit function,Communications with the Royal Family and honours,Material in course of completion,Internal Communications,Substantial prejudice to international relations public safety etc.,Substantial prejudice to course of justice etc.,Substantial prejudice to intellectual property rights,Substantial prejudice to confidentiality of proceedings,Substantial prejudice to confidentiality of commercial or industrial information ,Substantial prejudice to the interests of a third party,Substantial prejudice to the protection of the environment,Neither confirm nor deny whether environmental information held,Personal data of the applicant,Third party personal data,Neither confirm or deny whether personal data held
East Lothian Licensing Board,68,Lothian and Borders,Local Government,45,0,0,0,0,39,3,2,0,0,0,32,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Renfrewshire Council and Licensing Board,69,Strathclyde,Local Government,6088,21,41,21,0,5104,826,87,53,16,9,4684,450,759,359,0,1851,7,8,42,2,1588,222,30,0,0,1,1285,194,306,172,0,208,71,50,9,1,44,12,1,39,32,2,1,22,12,407,0,4,0,0,30,0,0,0,0,0,0,0,1,1,25,1,0,0,0,2,29,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,6,0,0,15,223,0,2,4,0,0,0,7,1,1,3,0,5,25,4,0,1,3,14,0
Falkirk Council,71,Central,Local Government,8650,112,63,41,5,7636,918,38,152,1,16,6297,952,970,893,54,897,5,0,0,0,817,71,0,61,0,0,761,11,32,13,0,1066,130,95,27,4,67,30,18,16,6,9,0,3,4,112,18,60,7,0,4,0,0,0,0,0,0,1,2,1,10,0,0,0,1,0,41,0,3,13,0,0,1,0,7,0,0,0,0,0,0,0,34,20,0,1,59,241,1,1,1,288,0,0,1,0,2,2,0,0,0,0,0,0,0,1,0
Falkirk Licensing Board,72,Central,Local Government,37,1,2,0,0,36,0,0,0,0,0,23,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fife Council and Licensing Board,73,Fife,Local Government,10880,104,64,0,0,9244,1527,62,164,0,0,6600,2155,1616,788,0,3688,23,17,0,0,3237,424,12,56,12,3,2280,381,767,237,0,2876,316,282,30,1,170,77,48,181,173,7,2,118,59,236,0,5,0,1,19,0,0,1,0,1,0,0,7,0,26,5,0,0,0,1,31,0,0,4,0,5,0,2,2,0,0,0,0,0,0,0,57,74,1,0,180,541,0,20,9,801,0,0,22,22,3,5,2,23,15,8,1,0,92,180,0
Fife Health Board,75,Fife,National Health Service,3211,10,15,0,87,2457,618,59,74,0,1,2274,233,515,264,0,400,0,0,0,0,387,0,0,0,0,0,27,0,0,0,0,2887,19,16,2,2,12,4,0,0,0,0,0,0,0,28,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,18,210,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Forth Valley College of Further and Higher Education,78,Central,Educational Institutions,195,0,1,0,0,188,6,0,0,0,0,163,1,29,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forth Valley Health Board,79,Central,National Health Service,3973,11,20,0,0,3517,420,23,420,10,10,2312,68,844,380,0,49,0,0,0,0,37,9,0,0,0,2,36,0,4,7,0,5250,65,50,12,3,20,27,3,2,2,0,0,1,1,262,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,25,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,183,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Teaching Council for Scotland,80,National,Others e.g. NDPBs,400,6,0,10,1,382,8,0,15,1,8,255,34,39,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,19,15,0,0,9,0,2,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glasgow Caledonian University,81,Strathclyde,Educational Institutions,1798,67,13,0,0,1629,110,1,29,3,6,1156,47,433,66,0,18,1,3,0,0,15,1,0,0,0,0,12,0,1,0,0,323,25,21,4,0,22,3,1,0,0,0,0,0,0,18,3,0,0,0,8,1,0,0,0,0,0,0,4,2,21,0,0,0,5,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,56,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glasgow City Council,82,Strathclyde,Local Government,18269,46,172,67,0,16622,1472,110,331,39,38,5909,1620,2890,1788,9,2222,3,16,1143,356,2017,156,8,0,7,17,993,59,211,131,0,3340,683,625,48,3,332,151,188,243,209,16,0,170,38,640,0,56,3,0,14,0,3,0,0,0,0,5,0,0,68,5,0,2,0,232,24,0,0,7,0,0,0,0,48,1,0,0,0,0,0,0,91,0,0,57,0,1079,2,0,52,0,3,0,0,0,0,0,0,0,1,0,1,0,9,50,0
City of Glasgow Licensing Board,83,Strathclyde,Local Government,116,0,2,0,0,103,4,1,0,0,0,36,8,6,42,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,9,0,0,7,6,0,1,0,0,6,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Glasgow School of Art,85,Strathclyde,Educational Institutions,509,7,5,0,0,467,27,0,6,0,0,382,4,84,5,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,6,6,0,0,3,1,0,0,0,0,0,0,0,6,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grampian Health Board,86,Grampian,National Health Service,4167,12,35,0,0,3419,659,63,460,0,7,1832,105,1621,1286,0,28,0,0,0,0,24,3,0,0,2,0,14,1,10,12,0,10366,65,32,33,0,36,25,5,1,1,0,0,0,1,143,4,4,2,0,9,1,0,0,0,0,0,0,0,0,13,0,0,0,0,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,42,850,0,20,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
Greater Glasgow Health Board,88,Strathclyde,National Health Service,6185,60,44,0,0,5296,677,16,230,5,47,3502,169,1530,481,1,116,1,0,0,0,92,19,1,0,1,0,63,3,31,8,0,51398,122,57,56,19,70,37,5,5,0,4,3,2,1,108,1,0,0,0,10,0,0,0,0,0,0,0,12,7,22,0,0,0,1,0,56,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,30,328,0,2,3,7,0,0,4,1,0,0,0,0,2,0,0,0,0,6,0
Heriot-Watt University,93,Lothian and Borders,Educational Institutions,1613,39,18,0,0,1367,154,4,47,0,2,887,40,331,123,0,45,0,0,0,0,32,3,0,1,2,0,25,0,2,0,0,33,10,9,1,0,6,4,0,1,1,0,0,0,1,33,4,0,0,0,31,2,0,0,0,0,0,0,0,0,1,0,0,0,0,4,34,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,70,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Highland and Western Isles Valuation Joint Board,94,Highland and Islands,Local Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highland Council and Licensing Board,95,Highland and Islands,Local Government,7946,75,123,0,0,6254,1658,38,113,1,4,5703,270,838,806,0,2833,26,42,0,0,2203,607,20,13,3,1,2278,63,230,173,0,123,140,108,30,2,77,11,49,88,64,14,10,46,34,163,1,2,0,0,0,0,0,0,0,0,0,0,2,8,11,2,0,0,0,0,54,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,5,8,0,0,64,126,0,0,0,1,0,0,3,5,4,3,1,7,26,11,3,0,5,23,0
Highland Health Board,97,Highland and Islands,National Health Service,4231,31,33,1,0,3095,702,19,106,13,0,3302,108,199,107,3,402,2,3,1,0,206,62,3,136,0,0,103,0,3,2,0,35,71,57,5,0,46,25,1,7,7,0,0,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,1,8,0,0,4,61,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highlands and Islands Enterprise,98,Highland and Islands,Others e.g. NDPBs,590,12,4,0,0,523,40,1,0,42,0,341,3,119,55,2,66,3,0,0,0,63,2,0,11,0,1,29,0,21,0,0,1,21,19,2,0,19,1,0,21,18,4,0,19,3,2,0,0,0,0,2,0,0,0,0,0,0,0,5,3,25,1,0,0,0,0,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,10,77,0,0,0,0,0,0,6,5,2,0,1,0,21,1,0,0,7,12,0
Inverclyde Council,100,Strathclyde,Local Government,7826,93,52,15,1,6655,880,0,78,4,23,8789,437,197,212,0,112,0,0,16,1,105,7,0,2,2,8,69,19,9,4,0,234,109,85,12,8,69,20,2,34,25,9,0,20,14,41,0,2,0,0,9,0,0,0,0,0,0,0,0,4,9,0,0,7,0,2,26,0,0,1,0,0,0,0,46,0,0,0,0,0,1,0,7,9,3,0,12,77,0,0,1,0,0,0,1,2,0,1,0,3,3,0,0,0,2,5,0
Inverclyde Licensing Board,101,Strathclyde,Local Government,41,0,1,0,0,38,1,0,1,0,0,33,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inverness College,102,Highland and Islands,Educational Institutions,191,4,2,0,0,177,13,1,0,1,0,144,0,34,7,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,305,2,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keeper of the Registers of Scotland,105,National,Non Ministerial Officeholders,653,13,9,2,2,579,17,0,1,0,1,233,71,239,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,18,1,0,17,2,0,0,0,0,0,0,0,246,0,0,0,0,2,0,0,9,0,0,1,0,1,4,0,2,0,0,0,1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,3,2,0,131,73,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lanarkshire Health Board,108,Strathclyde,National Health Service,4386,9,26,0,0,3958,367,0,175,0,16,1718,730,1867,261,0,152,0,0,2,2,125,28,0,2,18,0,22,40,84,55,0,15,23,23,1,0,20,4,0,2,1,0,0,1,0,169,0,0,0,0,5,0,0,0,0,0,0,0,4,10,7,0,0,0,0,2,50,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,93,434,29,26,0,93,0,0,1,1,0,1,0,0,4,1,0,0,3,3,0
Lanarkshire Valuation Joint Board,109,Strathclyde,Local Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lews Castle College,112,Highland and Islands,Educational Institutions,478,0,0,0,0,472,2,0,11,0,0,430,0,14,23,0,7,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Local Government Boundary Commission for Scotland,113,National,Others e.g. NDPBs,115,0,0,0,0,117,2,0,0,0,1,88,4,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Lomond and The Trossachs National Park Authority,114,Strathclyde,Others e.g. NDPBs,205,4,2,1,0,200,4,0,0,0,0,85,3,56,37,0,263,8,1,0,0,248,11,0,14,0,0,80,0,105,20,0,11,15,12,2,0,12,0,0,28,25,0,0,21,2,4,0,0,0,0,2,0,0,0,0,0,0,0,8,5,3,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,3,13,0,0,1,146,0,0,10,12,0,8,1,5,11,11,2,0,2,24,0
Lothian Health Board,115,Lothian and Borders,National Health Service,5236,23,72,0,0,4392,745,24,732,1,7,2482,600,1570,488,0,112,0,3,0,0,92,6,6,45,1,3,56,19,20,46,0,245,102,89,9,5,55,36,5,5,4,3,0,4,4,342,16,0,0,1,15,0,0,0,0,0,0,9,11,10,17,3,0,1,0,12,17,5,7,3,0,0,0,0,13,2,2,1,1,1,7,1,10,6,0,0,422,694,34,45,2,0,1,0,9,2,1,0,0,1,7,4,0,0,0,14,0
Mental Welfare Commission for Scotland,118,National,Others e.g. NDPBs,111,3,3,0,0,100,6,1,2,6,1,49,5,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,5,1,1,8,0,0,0,0,1,0,0,0,14,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midlothian Council,119,Lothian and Borders,Local Government,7291,2,72,1,1,6448,566,152,22,0,0,6833,68,44,36,0,144,0,0,0,0,125,14,2,3,0,0,134,0,0,0,0,329,16,13,2,1,8,4,3,0,0,0,0,0,0,31,2,0,0,0,2,0,0,0,0,0,0,1,6,4,5,0,0,0,0,0,9,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,4,6,0,0,14,39,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Midlothian Licensing Board,120,Lothian and Borders,Local Government,75,0,0,0,0,69,2,0,0,0,0,65,4,10,4,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moray College,121,Grampian,Educational Institutions,165,0,1,0,0,150,13,1,1,3,2,139,4,20,3,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,8,4,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moray Council and Licensing Board,122,Grampian,Local Government,7326,178,9,1,0,7077,189,1,157,2,2,4649,743,1261,455,10,280,7,1,0,0,277,1,0,1,4,0,182,22,61,23,0,227,68,66,1,1,49,14,2,3,3,0,0,1,2,759,0,3,0,0,77,0,0,0,0,0,0,2,3,3,16,6,0,0,0,2,72,0,1,5,0,0,0,0,9,2,0,0,0,0,4,0,8,30,0,0,4,268,1,3,2,11,0,0,0,0,0,0,0,1,2,2,0,0,1,0,0
Edinburgh Napier University,125,Lothian and Borders,Educational Institutions,1711,34,10,0,0,1627,33,0,66,0,0,1027,91,531,54,10,18,0,0,0,0,13,1,0,0,0,0,12,0,2,0,0,41,29,30,0,0,23,7,0,0,0,0,0,0,0,98,0,0,0,0,9,0,0,0,0,0,0,0,2,3,7,0,0,0,0,0,35,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,4,6,0,0,1,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newbattle Abbey College,126,Lothian and Borders,Educational Institutions,117,0,0,0,0,96,13,0,0,1,0,102,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,46,36,7,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS 24,127,National,National Health Service,557,11,21,0,0,498,33,0,4,0,8,157,42,103,120,1,6,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,1447,20,19,0,0,16,2,1,1,1,0,0,1,0,38,0,0,0,0,3,0,0,0,0,0,0,0,1,0,10,0,0,1,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65,39,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Education for Scotland,128,National,National Health Service,272,0,6,1,1,272,6,0,6,0,0,142,5,64,52,0,3,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,37,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,6,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NHS National Services Scotland,130,National,National Health Service,2919,21,192,16,9,2442,58,5,45,6,9,945,233,371,941,3,41,1,7,0,0,27,1,1,2,2,1,12,3,8,12,0,284,36,28,0,0,19,4,2,3,1,0,0,1,0,158,6,0,0,0,19,1,0,1,0,1,0,2,8,9,2,0,0,1,1,23,58,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,10,4,0,0,79,101,1,13,4,19,1,0,10,0,0,4,0,0,1,0,0,0,10,0,0
North Ayrshire Council and Licensing Board,131,Ayrshire,Local Government,8430,139,77,3,0,7218,893,8,233,8,25,5366,310,1389,877,3,789,9,9,7,3,620,94,2,26,3,2,304,18,128,102,0,78,101,79,11,0,61,28,1,15,10,1,0,8,3,254,0,39,0,0,15,0,7,0,0,0,0,4,3,0,10,0,0,2,0,2,14,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,132,104,0,0,3,0,0,0,1,2,1,0,0,0,1,0,0,0,1,6,0
North Highland College,134,Highland and Islands,Educational Institutions,145,0,2,0,0,141,3,0,0,0,0,127,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Lanarkshire Council and Licensing Board,135,Strathclyde,Local Government,8325,75,32,1,0,8057,134,6,495,12,3,3263,1017,2400,819,31,1436,12,8,1,2,1403,18,0,27,99,3,326,80,786,116,3,,129,102,20,0,87,25,9,40,30,10,0,32,8,887,0,2,0,1,8,0,0,0,0,0,0,0,0,1,47,3,0,0,0,0,36,0,0,8,0,1,0,0,6,1,0,0,0,0,2,0,6,17,0,0,84,667,0,0,9,1151,0,0,5,7,2,9,1,7,11,0,5,0,3,450,2
Office of the Scottish Charity Regulator,139,National,Non Ministerial Officeholders,410,6,27,0,0,319,3,0,0,2,4,84,27,114,102,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20,35,34,0,0,28,4,0,0,0,0,0,0,0,33,0,1,0,0,2,0,0,0,0,0,0,12,9,5,10,0,0,0,0,0,6,0,0,0,0,0,0,0,17,0,2,0,0,0,43,0,18,7,0,0,32,72,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Orkney and Shetland Valuation Joint Board and Assessor for Orkney and Shetland Valuation Joint Board,140,Highland and Islands,Local Government,80,1,0,1,1,77,2,0,0,0,1,57,2,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orkney Islands Council and Licensing Board,141,Highland and Islands,Local Government,7200,109,32,2,2,6571,407,50,36,1,4,5777,380,500,284,1,214,2,0,0,0,204,7,0,3,0,0,182,13,12,6,0,117,52,52,0,1,38,7,6,4,4,0,0,4,0,359,0,2,0,0,5,0,0,0,0,0,0,0,1,1,20,2,0,1,1,0,56,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,2,11,0,0,11,321,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0
Orkney Health Board,143,Highland and Islands,National Health Service,3538,66,36,10,0,2992,401,1,223,1,6,2170,452,741,176,1,2,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,4,22,17,5,0,10,11,1,0,0,0,0,0,0,282,0,0,0,0,25,0,0,0,0,0,0,0,0,0,2,4,0,0,0,5,11,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,1,0,1,8,257,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parole Board for Scotland,144,National,Others e.g. NDPBs,104,0,0,0,0,94,1,0,3,0,2,59,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perth and Kinross Council and Licensing Board,145,Tayside,Local Government,8761,101,87,0,0,8414,347,0,223,2,7,4150,638,2407,1428,22,1183,4,3,2,0,1068,50,0,12,33,5,428,74,530,278,0,496,154,110,16,5,86,38,0,48,36,8,0,28,18,668,17,4,0,1,30,1,0,0,0,0,0,0,2,3,373,0,9,0,0,14,195,0,0,8,0,1,0,1,24,0,6,0,1,0,4,0,6,29,0,0,27,870,0,0,29,60,4,0,9,6,9,30,0,7,38,15,5,0,59,119,0
Perth College,147,Tayside,Educational Institutions,229,1,2,0,0,180,37,0,2,1,0,183,7,28,6,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,120,6,5,1,0,6,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen's and Lord Treasurer's Remembrancer,149,National,Non Ministerial Officeholders,23,0,0,0,0,21,1,0,1,0,0,10,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
