Quarter,Government body,Total requests received,Requests Processed,Requests on-hold or lapsed,Requests still being processed,Requests handled under EIRs,Total requests received (excluding on-hold and lapsed),20-day deadline met,Permitted extension to 20-day deadline,Late response (i.e. 20-day deadline missed),Percentage of requests meeting 20-day deadline,"Percentage of requests ""in time"" (i.e. meeting deadline or with permitted extension)",Total requests received (excluding on-hold and lapsed),Requests where advice and assistance provided,Requests where information not held,"Total ""resolvable"" requests",Initial Outcome Granted in full,Initial Outcome  Partially withheld,Initial Outcome  Fully withheld,Initial Outcome Response not yet provided,Percentage of resolvable requests granted in full,Percentage of resolvable requests withheld in full,Fully refused - vexatious,Fully refused - repeated,Fully refused - cost limit,Fully refused - exemption,S(22) - Information intended for future publication,S(22A) - Research intended for future publication,"S(23) - Information supplied by, or relating to, bodies dealing with security matters",S(24) - National security,S(26) - Defence,S(27) - International relations,S(28) - Relations within the United Kingdom,S(29) - The economy,S(30) - Investigations and proceedings conducted by public authorities,S(31) - Law enforcement,"S(32) - Court records, etc",S(33) - Audit functions,S(34) - Parliamentary privilege,"S(35) - Formulation of Government policy, etc",S(36) - Prejudice to effective conduct of public affairs,"S(37) - Communications with Her Majesty, etc and honours",S(38) - Health and Safety,S(39) - Environmental information,S(40) - Personal information,S(41) - Information provided in confidence,S(42) - Legal professional privilege,S(43) - Commercial interests,S(44) - Prohibitions on disclosure,3(a) - Exempt personal data,4(a) - Information not held,4(b) - Manifestly unreasonable,4(c) - Too general,4(d) - Work in progress / incomplete data,4(e) - Internal communications,"5(a) - Adverse effect on international relations, defence, national security, public safety",5(b) - Adverse effect on course of justice or conduct of enquiries,5(c) - Adverse effect on intellectual property rights,5(d) - Impinges on confidentiality of a public authority's work,5(e) - Impinges on confidentiality of commercial or industrial information,5(f) - Adverse effect on interests of person who provided the information,5(g) - Adverse effect on protection of environment to which information relates,Total exemptions and exceptions applied,Number of requests where an exemption was claimed,Total Section 21 exemptions used,S21 Partly Exempt,S21 Fully Exempt,S21 20-day deadline met,S21 Late response (i.e. 20-day deadline missed),S21 Percentage of requests meeting 20-day deadline,Total Internal Reviews,Internal Reviews with outcome known,IR number upheld in full,IR number upheld in part,IR number overturned,IR percentage upheld in full,ICO Total Complaints,ICO Complaints with known outcome,ICO Number upheld in full,ICO Number upheld in part,ICO Number overturned,ICO Percentage upheld in full,PIT Total Requests Extended,PIT Number Completed,PIT 5 or Less,PIT 6 to 10,PIT 11 to 15,PIT 16 to 20,PIT 21 to 30,PIT 31 to 40,PIT 41 to 60,PIT 61 to 80,PIT 81 to 100,PIT More than 100,IR Total Reviews Completed,IR 10 or less,IR 11 to 20,IR 21 to 40,IR 41 to 60,IR 61 to 80,IR 81 to 100,IR More than 100,PIT uncompleted prev year Total last year,PIT uncompleted prev year 5 or Less,PIT uncompleted prev year 6 to 10,PIT uncompleted prev year 11 to 15,PIT uncompleted prev year 16 to 20,PIT uncompleted prev year 21 to 30,PIT uncompleted prev year 31 to 40,PIT uncompleted prev year 41 to 60,PIT uncompleted prev year 61 to 80,PIT uncompleted prev year 81 to 100,PIT uncompleted prev year More than 100,IR uncompleted prev year Total last year,IR uncompleted prev year 10 or less,IR uncompleted prev year 11 to 20,IR uncompleted prev year 21 to 40,IR uncompleted prev year 41 to 60,IR uncompleted prev year 61 to 80,IR uncompleted prev year 81 to 100,IR uncompleted prev year More than 100
2019,HM Treasury,1009,1001,0,8,12,1009,945,21,43,93.65708622,95.73835481,1009,69,261,679,243,118,310,8,35.78792342,45.65537555,8,0,165,137,67,0,4,2,0,16,0,3,1,14,0,0,0,71,3,3,1,-,83,11,1,42,5,0,0,0,0,0,3,0,0,0,0,0,0,0,330,255,49,24,25,49,0,100,70,46,42,3,1,91.30434783,13,0,0,0,0,-,21,17,0,1,0,13,0,1,0,2,0,0,46,0,3,17,9,5,1,11,11,0,0,0,0,1,0,2,1,0,1,15,1,0,0,1,2,2,8
2019,Home Office,4972,4840,0,132,2,4972,4031,461,480,81.07401448,90.34593725,4972,831,809,3332,1313,325,1562,132,39.4057623,46.8787515,14,13,914,621,145,0,63,92,0,47,1,0,2,194,2,0,0,73,78,2,52,-,379,14,10,98,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1256,946,326,0,326,220,106,67.48466258,320,262,221,24,17,84.35114504,44,0,0,0,0,-,446,345,25,36,31,43,95,48,38,13,5,11,262,12,60,85,60,29,5,11,169,0,1,0,1,0,3,6,6,10,142,261,11,59,97,27,30,19,18
2019,Health and Safety Executive,4731,4695,0,36,242,4731,4472,47,212,94.5254703,95.51891778,4731,49,1779,2903,1292,864,711,36,44.50568378,24.49190493,1,5,15,690,3,0,0,0,0,0,0,0,533,53,5,0,0,0,0,0,0,-,804,71,3,12,0,95,26,18,0,6,1,23,14,2,2,67,0,0,1738,1554,4,0,0,4,0,100,48,48,38,5,5,79.16666667,6,0,0,0,0,-,43,39,0,0,0,0,0,0,0,0,0,0,48,12,9,8,12,4,1,2,9,0,0,0,0,0,0,3,2,0,4,0,0,0,0,0,0,0,0
2019,HM Land Registry,374,374,0,0,0,374,359,8,7,95.98930481,98.12834225,374,9,54,311,237,27,47,0,76.20578778,15.11254019,4,0,7,36,11,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,-,33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,63,67,56,11,65,2,97.01492537,22,22,17,4,1,77.27272727,3,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,22,4,14,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,21,5,9,7,0,0,0,0
2019,"Ministry of Housing, Communities and Local Government",879,875,0,4,165,879,711,109,59,80.88737201,93.28782708,879,12,180,687,271,127,285,4,39.44687045,41.48471616,3,1,91,190,23,0,1,4,0,0,0,0,0,7,0,0,0,66,1,0,25,-,59,4,1,24,1,42,41,12,0,8,18,0,1,4,1,3,4,0,350,317,31,5,26,31,0,100,85,81,64,11,6,79.01234568,17,0,0,0,0,-,115,111,20,10,15,40,11,8,4,1,0,2,81,8,30,25,14,2,0,2,4,0,0,1,1,0,1,1,0,0,0,2,0,0,2,0,0,0,0
2019,Ministry of Defence,4354,4166,0,188,15,4354,3421,341,592,78.57142857,86.4033073,4354,542,768,3044,1414,498,944,188,46.45203679,31.01182654,37,17,565,325,70,0,72,131,259,81,3,1,15,95,7,0,0,16,3,3,54,-,362,7,5,84,7,3,13,3,0,0,0,0,0,0,0,0,0,0,1294,823,227,59,168,207,20,91.18942731,131,113,78,20,15,69.02654867,18,0,0,0,0,-,341,303,44,19,29,116,35,15,12,19,6,8,113,5,71,27,8,1,0,1,52,0,0,0,0,0,0,6,7,3,16,62,0,6,4,1,2,2,12
2019,Ministry of Justice,4943,4931,0,12,6,4943,4622,26,295,93.50596804,94.03196439,4943,595,785,3563,1378,389,1784,12,38.67527365,50.07016559,18,24,1108,634,131,0,1,3,0,1,0,0,1,73,241,0,3,41,10,1,23,-,533,11,7,57,161,0,0,0,1,0,0,0,0,0,1,2,0,1,1303,1023,435,106,329,414,21,95.17241379,380,380,299,48,33,78.68421053,57,0,0,0,0,-,26,24,0,1,3,12,5,2,0,0,1,0,380,0,353,16,11,0,0,0,3,0,0,0,2,0,1,0,0,0,0,8,1,0,5,0,0,1,1
2019,Northern Ireland Office,260,260,0,0,1,260,236,16,8,90.76923077,96.92307692,260,2,32,226,85,20,121,0,37.61061947,53.53982301,0,10,65,46,9,0,6,14,3,1,0,0,1,16,0,0,0,10,3,0,8,-,40,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,66,8,3,5,8,0,100,22,22,21,1,0,95.45454545,2,0,0,0,0,-,13,13,0,0,0,0,2,8,3,0,0,0,22,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,National Savings and Investments,65,65,0,0,1,65,63,0,2,96.92307692,96.92307692,65,0,4,61,48,9,4,0,78.68852459,6.557377049,0,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,2,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,-,3,3,3,0,0,100,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Office of Gas and Electricity Markets,489,487,0,2,223,489,453,15,21,92.63803681,95.70552147,489,0,56,433,240,82,109,2,55.42725173,25.17321016,3,0,7,99,0,4,0,0,0,1,0,0,1,3,2,0,0,2,0,0,0,-,7,0,0,5,45,38,36,21,0,2,4,0,3,0,1,4,2,0,181,181,27,0,27,27,0,100,21,21,18,1,2,85.71428571,4,0,0,0,0,-,1,1,0,0,0,1,0,0,0,0,0,0,21,2,5,10,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
